time,open,high,low,close,tick_volume,spread,real_volume
2022-09-20 15:45:00,303.29,303.29,303.29,303.29,1,1,1
2022-09-20 16:00:00,303.29,303.29,303.04,303.04,9,1,11
2022-09-20 16:15:00,303.04,303.24,302.25,302.35,89,1,141
2022-09-21 09:00:00,302.55,302.99,302.55,302.99,103,1,92
2022-09-21 09:15:00,303.04,303.09,302.69,302.69,11,1,11
2022-09-21 09:30:00,302.69,302.89,302.69,302.69,15,1,35
2022-09-21 09:45:00,302.69,302.69,302.25,302.3,30,1,46
2022-09-21 10:00:00,302.3,302.3,301.85,302.2,50,1,108
2022-09-21 10:15:00,302.3,302.5,302.3,302.3,5,1,40
2022-09-21 10:45:00,302.55,302.84,302.55,302.69,10,1,26
2022-09-21 11:00:00,302.5,302.5,302.45,302.45,6,1,8
2022-09-21 11:15:00,302.55,302.6,302.45,302.6,6,1,9
2022-09-21 11:30:00,302.69,303.24,302.69,302.99,25,1,45
2022-09-21 11:45:00,302.99,302.99,302.69,302.79,14,1,15
2022-09-21 12:00:00,302.74,302.89,302.65,302.84,8,1,15
2022-09-21 12:15:00,302.74,302.74,302.74,302.74,1,1,1
2022-09-21 12:30:00,302.74,302.74,302.69,302.69,2,1,2
2022-09-21 12:45:00,302.74,302.79,302.6,302.6,8,1,17
2022-09-21 13:00:00,302.55,302.55,302.55,302.55,1,1,1
2022-09-21 13:15:00,302.55,302.74,302.55,302.74,2,1,2
2022-09-21 13:30:00,302.94,302.99,302.94,302.99,4,1,7
2022-09-21 13:45:00,302.94,303.04,302.94,303.04,3,1,5
2022-09-21 14:00:00,302.94,302.94,302.89,302.89,3,1,3
2022-09-21 14:15:00,302.69,302.69,302.5,302.6,13,1,14
2022-09-21 14:30:00,302.79,302.79,302.6,302.6,3,1,18
2022-09-21 14:45:00,302.69,302.89,302.69,302.89,7,1,9
2022-09-21 15:00:00,302.89,303.09,302.74,302.89,18,1,25
2022-09-21 15:30:00,302.84,303.19,302.84,303.09,12,1,28
2022-09-21 15:45:00,303.09,303.24,302.99,303.19,18,1,37
2022-09-21 16:00:00,303.14,303.14,302.84,302.89,17,1,32
2022-09-21 16:15:00,302.94,302.99,302.74,302.74,55,1,96
2022-09-22 09:00:00,302.4,302.45,301.85,302.3,54,1,57
2022-09-22 09:15:00,302.25,302.55,302.05,302.55,27,1,32
2022-09-22 09:30:00,302.3,302.5,302.3,302.35,5,1,10
2022-09-22 09:45:00,302.3,302.74,302.25,302.74,22,1,46
2022-09-22 10:00:00,302.65,302.65,302.3,302.3,10,1,45
2022-09-22 10:15:00,302.3,302.3,302.15,302.25,28,1,62
2022-09-22 10:30:00,302.15,302.3,302.15,302.3,6,1,6
2022-09-22 10:45:00,302.4,302.4,302.15,302.2,29,1,31
2022-09-22 11:00:00,302.2,302.35,302.2,302.25,8,1,11
2022-09-22 11:15:00,302.25,302.25,302.05,302.1,39,1,51
2022-09-22 11:30:00,302.1,302.3,302.0,302.15,23,1,29
2022-09-22 11:45:00,302.15,302.2,302.05,302.05,32,1,37
2022-09-22 12:00:00,302.05,302.05,301.26,301.76,167,1,312
2022-09-22 12:15:00,301.61,301.66,301.46,301.66,4,1,4
2022-09-22 12:30:00,301.46,301.46,301.36,301.36,7,1,8
2022-09-22 12:45:00,301.41,301.56,301.06,301.26,92,1,134
2022-09-22 13:00:00,301.21,301.21,301.06,301.06,13,1,20
2022-09-22 13:15:00,301.06,301.21,300.97,301.21,20,1,30
2022-09-22 13:30:00,301.02,301.21,300.92,301.02,13,1,19
2022-09-22 13:45:00,301.16,301.16,300.92,300.97,12,1,13
2022-09-22 14:00:00,301.11,301.36,301.02,301.21,21,1,25
2022-09-22 14:15:00,301.11,301.11,301.06,301.11,5,1,8
2022-09-22 14:30:00,301.06,301.06,300.32,300.77,115,1,201
2022-09-22 14:45:00,300.77,300.77,300.32,300.72,105,1,154
2022-09-22 15:00:00,300.82,301.02,300.47,300.77,31,1,41
2022-09-22 15:15:00,301.02,301.31,300.77,301.02,45,1,56
2022-09-22 15:30:00,301.02,301.02,300.77,301.02,18,1,18
2022-09-22 15:45:00,300.82,300.97,300.67,300.67,8,1,11
2022-09-22 16:00:00,300.67,300.67,299.63,299.78,256,1,492
2022-09-22 16:15:00,299.78,299.88,298.6,299.34,259,1,655
2022-09-23 09:00:00,299.39,299.68,298.6,298.84,148,1,150
2022-09-23 09:15:00,298.6,298.6,297.46,298.35,77,1,167
2022-09-23 09:30:00,298.05,298.35,297.81,298.05,45,1,87
2022-09-23 09:45:00,298.05,298.2,297.85,298.2,10,1,10
2022-09-23 10:00:00,298.2,298.25,297.9,297.9,12,1,13
2022-09-23 10:15:00,298.0,298.55,297.81,297.85,84,1,152
2022-09-23 10:30:00,298.05,298.1,297.61,297.9,58,1,109
2022-09-23 10:45:00,297.9,298.4,297.66,298.05,176,1,217
2022-09-23 11:00:00,297.95,298.2,297.9,297.95,27,1,28
2022-09-23 11:15:00,297.9,298.25,297.71,298.0,23,1,24
2022-09-23 11:30:00,298.1,298.3,298.0,298.3,19,1,20
2022-09-23 11:45:00,298.3,298.35,298.3,298.3,8,1,16
2022-09-23 12:00:00,298.4,298.79,298.4,298.6,19,1,38
2022-09-23 12:15:00,298.6,298.74,298.5,298.5,13,1,14
2022-09-23 12:30:00,298.69,298.69,298.6,298.6,5,1,5
2022-09-23 12:45:00,298.5,298.69,298.5,298.69,11,1,19
2022-09-23 13:00:00,298.5,298.6,298.15,298.55,25,1,62
2022-09-23 13:15:00,298.35,298.35,298.0,298.3,52,1,78
2022-09-23 13:30:00,298.2,298.3,297.85,297.95,39,1,43
2022-09-23 13:45:00,297.95,298.45,297.81,298.45,29,1,60
2022-09-23 14:00:00,298.45,298.55,298.15,298.15,15,1,49
2022-09-23 14:15:00,298.5,299.43,298.5,299.29,154,1,220
2022-09-23 14:30:00,299.29,299.78,298.99,299.78,30,1,48
2022-09-23 14:45:00,299.93,300.97,299.73,300.32,67,1,116
2022-09-23 15:00:00,300.52,301.46,300.32,300.32,115,1,229
2022-09-23 15:15:00,300.47,300.57,300.08,300.08,22,1,30
2022-09-23 15:30:00,300.08,300.23,299.78,299.78,28,1,36
2022-09-23 15:45:00,299.78,299.93,299.53,299.58,27,1,40
2022-09-23 16:00:00,299.68,299.78,299.53,299.68,23,1,41
2022-09-23 16:15:00,299.78,300.27,299.48,300.18,87,1,174
2022-09-26 09:00:00,299.34,299.68,298.94,299.43,55,1,37
2022-09-26 09:15:00,299.78,300.18,299.39,299.63,29,1,31
2022-09-26 09:30:00,299.63,299.63,299.48,299.48,2,1,3
2022-09-26 09:45:00,299.58,300.13,299.29,299.29,32,1,70
2022-09-26 10:00:00,299.14,299.53,299.14,299.39,8,1,9
2022-09-26 10:15:00,299.73,300.18,299.73,300.18,12,1,16
2022-09-26 10:30:00,299.53,299.93,299.53,299.93,3,1,3
2022-09-26 11:00:00,300.13,300.52,300.13,300.52,18,1,47
2022-09-26 11:15:00,300.72,301.36,300.47,301.26,47,1,102
2022-09-26 11:30:00,301.26,302.74,301.02,301.81,121,1,209
