Parameter,Importance,model_code
batch_size,0.04413434351650947,CNN-LSTM_LB30_LF1_behavior
num_layers,0.012401280546762768,CNN-LSTM_LB30_LF1_behavior
dropout,0.33744698147277385,CNN-LSTM_LB30_LF1_close_price_target
epochs,0.1975078405968085,CNN-LSTM_LB30_LF1_close_price_target
conv_filters,0.13404857692415437,CNN-LSTM_LB30_LF1_close_price_target
batch_size,0.0913355401027301,CNN-LSTM_LB30_LF1_close_price_target
hidden_size,0.08170034463122526,CNN-LSTM_LB30_LF1_close_price_target
learning_rate,0.08125811881546367,CNN-LSTM_LB30_LF1_close_price_target
num_layers,0.0767025974568444,CNN-LSTM_LB30_LF1_close_price_target
hidden_size,0.32826656475372906,CNN-LSTM_LB30_LF1_open_price_target
learning_rate,0.21311874143585424,CNN-LSTM_LB30_LF1_open_price_target
dropout,0.2115248116659664,CNN-LSTM_LB30_LF1_open_price_target
epochs,0.14913500200781535,CNN-LSTM_LB30_LF1_open_price_target
conv_filters,0.059341973326357295,CNN-LSTM_LB30_LF1_open_price_target
batch_size,0.03536885202614605,CNN-LSTM_LB30_LF1_open_price_target
num_layers,0.0032440547841316864,CNN-LSTM_LB30_LF1_open_price_target
hidden_size,0.3228199085232188,CNN-LSTM_LB45_LF1_behavior
conv_filters,0.1641449190056526,CNN-LSTM_LB45_LF1_behavior
epochs,0.15373428264969452,CNN-LSTM_LB45_LF1_behavior
learning_rate,0.1394008933986609,CNN-LSTM_LB45_LF1_behavior
dropout,0.10615200831377941,CNN-LSTM_LB45_LF1_behavior
num_layers,0.07038232454876656,CNN-LSTM_LB45_LF1_behavior
batch_size,0.04336566356022717,CNN-LSTM_LB45_LF1_behavior
epochs,0.3689219717410302,CNN-LSTM_LB45_LF1_close_price_target
hidden_size,0.20828701578821568,CNN-LSTM_LB45_LF1_close_price_target
batch_size,0.19180450085763592,CNN-LSTM_LB45_LF1_close_price_target
conv_filters,0.11680514252656508,CNN-LSTM_LB45_LF1_close_price_target
learning_rate,0.06392826023826087,CNN-LSTM_LB45_LF1_close_price_target
dropout,0.034842799759612436,CNN-LSTM_LB45_LF1_close_price_target
num_layers,0.015410309088679686,CNN-LSTM_LB45_LF1_close_price_target
hidden_size,0.372178093380711,CNN-LSTM_LB45_LF1_open_price_target
epochs,0.24391100576739272,CNN-LSTM_LB45_LF1_open_price_target
dropout,0.14083906384540842,CNN-LSTM_LB45_LF1_open_price_target
learning_rate,0.10266190128381038,CNN-LSTM_LB45_LF1_open_price_target
conv_filters,0.08008297194889935,CNN-LSTM_LB45_LF1_open_price_target
batch_size,0.04116035154482254,CNN-LSTM_LB45_LF1_open_price_target
num_layers,0.01916661222895557,CNN-LSTM_LB45_LF1_open_price_target
learning_rate,0.583294091740539,CNN-LSTM_LB60_LF1_behavior
dropout,0.40451387497584884,CNN-LSTM_LB60_LF1_behavior
hidden_size,0.0031495176137478396,CNN-LSTM_LB60_LF1_behavior
conv_filters,0.002871828994339433,CNN-LSTM_LB60_LF1_behavior
batch_size,0.0023333386371886793,CNN-LSTM_LB60_LF1_behavior
epochs,0.0020402931973787777,CNN-LSTM_LB60_LF1_behavior
num_layers,0.0017970548409572472,CNN-LSTM_LB60_LF1_behavior
epochs,0.29555661210373296,CNN-LSTM_LB60_LF1_close_price_target
dropout,0.2557246890560136,CNN-LSTM_LB60_LF1_close_price_target
hidden_size,0.16344961536496103,CNN-LSTM_LB60_LF1_close_price_target
batch_size,0.13329061557685368,CNN-LSTM_LB60_LF1_close_price_target
learning_rate,0.07342666234273774,CNN-LSTM_LB60_LF1_close_price_target
conv_filters,0.048175389357100216,CNN-LSTM_LB60_LF1_close_price_target
num_layers,0.03037641619860091,CNN-LSTM_LB60_LF1_close_price_target
dropout,0.3052401690086427,CNN-LSTM_LB7_LF1_behavior
epochs,0.3022958030811967,CNN-LSTM_LB7_LF1_behavior
hidden_size,0.17051970990460832,CNN-LSTM_LB7_LF1_behavior
learning_rate,0.0974892234301894,CNN-LSTM_LB7_LF1_behavior
batch_size,0.05435580542683849,CNN-LSTM_LB7_LF1_behavior
conv_filters,0.05062345132246915,CNN-LSTM_LB7_LF1_behavior
num_layers,0.019475837826055057,CNN-LSTM_LB7_LF1_behavior
learning_rate,0.8129731207623487,CNN-LSTM_LB7_LF1_close_price_target
dropout,0.09990474764775964,CNN-LSTM_LB7_LF1_close_price_target
batch_size,0.033387432067761506,CNN-LSTM_LB7_LF1_close_price_target
epochs,0.03166391701683313,CNN-LSTM_LB7_LF1_close_price_target
hidden_size,0.015545576637630693,CNN-LSTM_LB7_LF1_close_price_target
conv_filters,0.004166063721901102,CNN-LSTM_LB7_LF1_close_price_target
num_layers,0.002359142145765049,CNN-LSTM_LB7_LF1_close_price_target
hidden_size,0.3480748550392385,CNN-LSTM_LB7_LF1_open_price_target
dropout,0.1891588066957443,CNN-LSTM_LB7_LF1_open_price_target
learning_rate,0.13431755479215188,CNN-LSTM_LB7_LF1_open_price_target
batch_size,0.10269424944561191,CNN-LSTM_LB7_LF1_open_price_target
conv_filters,0.10058748371725605,CNN-LSTM_LB7_LF1_open_price_target
epochs,0.09311371503665912,CNN-LSTM_LB7_LF1_open_price_target
num_layers,0.032053335273338035,CNN-LSTM_LB7_LF1_open_price_target
dropout,0.4354011325945185,GRU_LB15_LF1_behavior
learning_rate,0.2661317819995939,GRU_LB15_LF1_behavior
hidden_size,0.15767898825476845,GRU_LB15_LF1_behavior
epochs,0.12486138642813668,GRU_LB15_LF1_behavior
batch_size,0.015595649244292258,GRU_LB15_LF1_behavior
num_layers,0.0003310614786900934,GRU_LB15_LF1_behavior
learning_rate,0.6289780919826254,GRU_LB15_LF1_close_price_target
hidden_size,0.13550514919595538,GRU_LB15_LF1_close_price_target
epochs,0.0873245040667851,GRU_LB15_LF1_close_price_target
batch_size,0.056488600508977804,GRU_LB15_LF1_close_price_target
dropout,0.054615065536173034,GRU_LB15_LF1_close_price_target
num_layers,0.03708858870948324,GRU_LB15_LF1_close_price_target
learning_rate,0.45732547925002437,GRU_LB15_LF1_open_price_target
hidden_size,0.22667402943047898,GRU_LB15_LF1_open_price_target
batch_size,0.11032106285914875,GRU_LB15_LF1_open_price_target
dropout,0.097141802095867,GRU_LB15_LF1_open_price_target
epochs,0.06949400119965958,GRU_LB15_LF1_open_price_target
num_layers,0.03904362516482133,GRU_LB15_LF1_open_price_target
hidden_size,0.27574631727533566,GRU_LB30_LF1_open_price_target
epochs,0.16774556979206048,GRU_LB30_LF1_open_price_target
learning_rate,0.15848264323559522,GRU_LB30_LF1_open_price_target
num_layers,0.13983523404458298,GRU_LB30_LF1_open_price_target
batch_size,0.1370536579106806,GRU_LB30_LF1_open_price_target
dropout,0.12113657774174494,GRU_LB30_LF1_open_price_target
hidden_size,0.3556449439352537,GRU_LB45_LF1_behavior
dropout,0.23906633764937155,GRU_LB45_LF1_behavior
epochs,0.1577694117006978,GRU_LB45_LF1_behavior
learning_rate,0.12761095878826825,GRU_LB45_LF1_behavior
batch_size,0.06751423905104866,GRU_LB45_LF1_behavior
num_layers,0.052394108875360064,GRU_LB45_LF1_behavior
epochs,0.5789727796474542,GRU_LB45_LF1_open_price_target
hidden_size,0.16791986186939103,GRU_LB45_LF1_open_price_target
learning_rate,0.10205355554074622,GRU_LB45_LF1_open_price_target
batch_size,0.08485979023198506,GRU_LB45_LF1_open_price_target
dropout,0.050931385061320535,GRU_LB45_LF1_open_price_target
num_layers,0.015262627649102828,GRU_LB45_LF1_open_price_target
dropout,0.36255862389803406,GRU_LB60_LF1_close_price_target
hidden_size,0.2099868913873668,GRU_LB60_LF1_close_price_target
learning_rate,0.20033042824863004,GRU_LB60_LF1_close_price_target
